YEAR,WRKSTAT,MARITAL,AGEWED,CHILDS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,FEMALE,RACE,INCOME,INCOME98,RELIG,FUND,ATTEND,RELITEN,PRAY,PRAYER,BIBLE,HAPPY,ALIKE1,ALIKE2,ALIKE3,ALIKE4,ALIKE5,ALIKE6,ALIKE7,ALIKE8,AGEWEDCR,HAPUNHAP,REALINC,WORDSUM
1972,4,5,NA,0,26,16,12,12,3,1,1,0,1,NA,NA,1,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,21,5,78,8,NA,12,0,NA,1,1,1,NA,NA,1,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,3,1,18,1,21,12,4,12,1,0,1,0,1,NA,NA,1,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,22,2,27,14,12,12,1,1,1,0,1,NA,NA,2,2,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,20,2,58,13,NA,8,1,NA,0,1,1,NA,NA,1,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50763,NA
1972,7,1,15,1,35,10,NA,NA,0,NA,NA,1,1,NA,NA,1,3,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,2,5,NA,0,58,6,NA,NA,0,NA,NA,0,1,NA,NA,1,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,1,1,16,2,51,12,3,8,1,0,0,1,1,NA,NA,1,3,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,7,2,18,2,76,8,5,5,0,0,0,1,1,NA,NA,1,2,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,1,1,22,2,53,14,8,14,1,0,1,0,1,NA,NA,1,3,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,22,2,39,8,NA,3,0,NA,0,0,1,NA,NA,1,2,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,7,1,37,0,64,8,NA,NA,0,NA,NA,1,1,NA,NA,1,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,21,4,50,8,8,8,0,0,0,1,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74452,NA
1972,7,1,20,0,27,12,12,8,1,1,0,1,1,NA,NA,1,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,5,NA,0,25,14,8,16,1,0,3,0,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,2,1,23,4,49,12,NA,NA,1,0,0,0,1,NA,NA,1,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,1,1,22,4,40,9,8,8,0,0,0,0,1,NA,NA,1,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,23,4,43,8,8,8,0,0,0,0,1,NA,NA,1,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,1,1,22,3,46,10,14,8,0,1,0,0,1,NA,NA,2,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
